,Begin of day,End of day,Number of hours lived,Sustain hours,Army hours,Working hours,Chill hours,Workout hours,Other hours,Unknown hours,Assumption
2020.10.12,6.5,22.75,16.25,3,4.5,2.5,3,1,1,1.25,unsure
2020.10.13,6.5,22.75,16.25,3.5,5,4.25,2,1.5,,0,
2020.10.14,6.5,23,16.5,3.5,5,1,4,2,0.5,0.5,
2020.10.15,6.5,22.5,16,3.5,5,4.25,1,1.25,0.5,0.5,errands
2020.10.16,6.5,23,16.5,3.5,7,2,2,1.5,0,0.5,
2020.10.17,7,23,16,3.5,0.5,3.5,6,1.5,0,1,
2020.10.18,7,22.75,15.75,3.5,7.5,2.5,3,0,,-0.75,work during army
2020.10.19,6.5,22.75,16.25,3.5,5,3.5,2,1.5,0.75,0,cleaning up
2020.10.20,6.5,22.75,16.25,3.5,5,3,2.5,1.5,,0.75,chores
2020.10.21,6.5,23,16.5,3.5,5,3,2,1.5,1,0.5,"reading,chores"
2020.10.22,6.5,22.5,16,3.5,7.5,1,1,1,,2,unsure
2020.10.23,6.5,24.5,18,3.5,8,2,2,1.5,,1,unsure
2020.10.24,7,24,17,3.5,0.5,7,6,0,,0,
2020.10.25,7,22.75,15.75,3.5,7.5,3.5,1.5,0,1,-1.25,"work during army, cleaning up"
2020.10.26,,,0,,,,,,,0,
2020.10.27,,,0,,,,,,,0,
2020.10.28,,,,,,,,,,0,
2020.10.29,,,,,,,,,,0,
2020.10.30,,,,,,,,,,0,
2020.10.31,,,,,,,,,,,
Monthly average,,,,,,,,,,,