,Army hours,Coding hours,Type of coding,Book title,Number of pages read,Previous day page,Other hours,Other type,Efficiency score
2020.10.12,4.5,1.5,data science,Geek Heresy,10,160,1,PG essay,5.5
2020.10.13,5,3,data science,Geek Heresy,12,172,0.5,PG essay,7
2020.10.14,5,0,,Geek Heresy,18,190,0.5,writing,7.5
2020.10.15,5,4.25,data science,Geek Heresy,5,195,0.5,writing,8
2020.10.16,7,1,data science,Geek Heresy,0,195,0,,6.5
2020.10.17,0.5,0,null,Geek Heresy,0,195,0,,6.5
2020.10.18,7.5,3,personal website,Geek Heresy,9,204,0,,8
2020.10.19,5,2.5,"personal website,data science",Geek Heresy,14,218,0,,7
2020.10.20,5,2,data science,none,0,0,0,PG essay,7.5
2020.10.21,5,2,data science,none,0,0,0,,6
2020.10.22,7.5,0,,none,0,0,1,writing,5
2020.10.23,8,2,data science,none,0,0,0,,5
2020.10.24,0.5,4.5,"data science,personal website",none,0,0,1,writing,7
2020.10.25,7.5,2.5,"data science,personal website",none,0,0,1,writing,8
2020.10.26,,,,,,,,,
2020.10.27,,,,,,,,,
2020.10.28,,,,,,,,,
2020.10.29,,,,,,,,,
2020.10.30,,,,,,,,,
2020.10.31,,,,,,,,,